text;label;cleaned_text
RT Siti Atikoh mengunjungi kantor TPD Ganjar-Mahfud Sumatera Selatan. Atikoh mendapat kejutan dari penyandang tuna rungu simpatisan Ganjar-Mahfud di Hari Tuna Rungu Nasional 2024. Atikoh diberikan kejutan berupa kaos warna merah, bertuliskan Ibu Negara Indonesia di bagian depan. Tak hanya diberikan kejutan, Atikoh juga diajarkan Bahasa Isyarat. #PDIPerjuangan #HUTPDIPerjuanganKe51 #KebenaranPastiMenang #SatyamEvaJayate #GanjarMahfud2024 #MEnangkanGAnjar #Nomor3Pilihanku [RE PDI_Perjuangan];Politik; siti atikoh mengunjungi kantor tpd ganjar mahfud sumatera selatan  atikoh mendapat kejutan dari penyandang tuna rungu simpatisan ganjar mahfud di hari tuna rungu nasional 2024  atikoh diberikan kejutan berupa kaos warna merah  bertuliskan ibu negara indonesia di bagian depan  tak hanya diberikan kejutan  atikoh juga diajarkan bahasa isyarat   pdiperjuangan  hutpdiperjuanganke51  kebenaranpastimenang  satyamevajayate  ganjarmahfud2024  menangkanganjar  nomor3pilihanku  re pdi perjuangan 
RT Abah Anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup.. #AMINAjaDulu https://t.co/txIvBhLvn2 [RE ekowboy2];Sosial Budaya; abah anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup   aminajadulu   re ekowboy2 
Calon Presiden RI Ganjar Pranowo yakin, bersama Mahfud MD, regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihak.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/v6hsuOEr84;Politik;calon presiden ri ganjar pranowo yakin  bersama mahfud md  regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihak ganjarmahfudrebound  ganjarpranowopilihanumat  jnk 
"RT Pak Michael Gaya bicara keras dan terkesan emosional tapi tetap berisiÃƒÂ°Ã‚Å¸Ã‚Â¥Ã‚Â¹ "" Tidak Usah jangan, Berarti Prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya "" #Anies Pak Lurah Bu Hesti Anies Deserve Better Asnawi Videotron Pegang Miftah Papua Amien Rais https://t.co/VIKVDzL1Sr [RE Riweh_Banget];Politik";; pak michael gaya bicara keras dan terkesan emosional tapi tetap berisi   tidak usah jangan  berarti prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya    anies pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais   re riweh banget politik
Paslon 03 Ganjar Pranowo yakin, bersama Mahfud MD, regulasi hukum investor di Indonesia bakal lebih bersahabat dan terukur.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/RIoiHBQcPU;Politik;paslon 03 ganjar pranowo yakin  bersama mahfud md  regulasi hukum investor di indonesia bakal lebih bersahabat dan terukur ganjarmahfudrebound  ganjarpranowopilihanumat  jnk 
"RT ANIES SOSOK AYAH YANG PENUH KEHANGATAN - ÃƒÂ¬Ã‚â€¢ ÃƒÂ«Ã‚â€¹Ã‚Ë†ÃƒÂ¬Ã‚Å Ã‚Â¤ÃƒÂ«Ã‚Å Ã‚â€ ÃƒÂ«Ã‚â€Ã‚Â°ÃƒÂ«Ã‚Å“Ã‚Â»ÃƒÂ­Ã‚â€¢Ã‚Â¨ÃƒÂ¬Ã‚ÂÃ‚Â´ ÃƒÂªÃ‚Â°Ã‚â‚¬ÃƒÂ«Ã‚â€œÃ‚ÂÃƒÂ­Ã‚â€¢Ã‚Å“ ÃƒÂ¬Ã‚â€¢Ã‚â€žÃƒÂ«Ã‚Â²Ã‚â€žÃƒÂ¬Ã‚Â§Ã‚â‚¬ÃƒÂ¬Ã‚ÂÃ‚Ëœ ÃƒÂ«Ã‚ÂªÃ‚Â¨ÃƒÂ¬Ã‚Å Ã‚ÂµÃƒÂ¬Ã‚Å¾ ÃƒÂ«Ã‚â€¹Ã‚Ë†ÃƒÂ«Ã‚â€¹Ã‚Â¤ Pak @tMhERoSGzAGffRRtESW3sH2i8KRZA00OpeRvhkolzv0= mmg sosok Ayah yg Penuh Kehangatan. Lihat dlm tayangan video ini, tangannya lentur banget menggendong anak kecil. Tampak Luwes, ngga kaku dan ngga buat-buat.Ãƒâ€š Pasti anak-anaknya jg sering merasakan gendongan, pelukan dan pelukan beliau. - ""Kekuatan sejati adalah ketenangan di pelukan Ayah."" - #aniesbubbleÃƒâ€š #AniesMuhaimin2024 [RE papa_loren];Pertahanan dan Keamanan";; anies sosok ayah yang penuh kehangatan          pak  mmg sosok ayah yg penuh kehangatan  lihat dlm tayangan video ini  tangannya lentur banget menggendong anak kecil  tampak luwes  ngga kaku dan ngga buat buat  pasti anak anaknya jg sering merasakan gendongan  pelukan dan pelukan beliau     kekuatan sejati adalah ketenangan di pelukan ayah     aniesbubble  aniesmuhaimin2024  re papa loren pertahanan dan keamanan
Capres Ganjar Pranowo nggak main-main nih! Kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/aDzMKmTRYj;Politik;capres ganjar pranowo nggak main main nih  kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya   ganjarmahfudrebound  ganjarpranowopilihanumat  jnk 
RT Projo Kawal Prabowo Gibran Menang Sekali Putaran ÃƒÂ¢Ã‚Å“Ã‚Å ÃƒÂ°Ã‚Å¸Ã‚â€¡Ã‚Â®ÃƒÂ°Ã‚Å¸Ã‚â€¡Ã‚Â© #projo #jokowi #setiadigarisrakyat https://t.co/9WT8h4Iizh [RE Projo_Pusat];Politik; projo kawal prabowo gibran menang sekali putaran   projo  jokowi  setiadigarisrakyat   re projo pusat 
tempodotco semangat pak Ãƒâ€š Ãƒâ€š kami akan selalu m3nddukung muÃƒâ€š Ganjar Mahfud Hebat #Coblos3 #3GM #GanjarMahfudM3nangDebat #DebatCapres https://t.co/K7EM7R7P2v;Politik;tempodotco semangat pak   kami akan selalu m3nddukung mu ganjar mahfud hebat  coblos3  3gm  ganjarmahfudm3nangdebat  debatcapres 
RT Anies sesuai selera masyarakat Sumatera Barat. https://t.co/6phxEXGjc6 [RE kamalmiko];Sosial Budaya; anies sesuai selera masyarakat sumatera barat    re kamalmiko 
RT Abah Anies Baswedan  ibu Fery Farhati tiba di Pekanbaru Kampanye Akbar kedua hari ini ÃƒÂ°Ã‚Å¸Ã‚â€Ã‚Â¥ https://t.co/XcZxFscBhw [RE Mdy_Asmara1701];Politik; abah anies baswedan ibu fery farhati tiba di pekanbaru kampanye akbar kedua hari ini    re mdy asmara1701 
Atikoh Beberkan Solusi Ganjar-Mahfud Atasi Harga Pangan Naik https://t.co/m8OARyG630;Politik;atikoh beberkan solusi ganjar mahfud atasi harga pangan naik 
RT Giliran Buruh Soloraya Deklarasi Dukung Prabowo-Gibran - Soloraya https://t.co/DBaQCYeqKV https://t.co/hjZXhvK0oi #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan [RE doddy_h4312];Politik; giliran buruh soloraya deklarasi dukung prabowo gibran   soloraya    indonesiakuatindonesiamaju  diplomasiprogresif02  02melanjutkan  re doddy h4312 
Capres Cawapres Ganjar Pranowo dan Mahfud MD mengajak semua pihak untuk bersatu menjaga Konstitusi atau aturan dasar negara.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/VdpFFxOeUQ;Ideologi;capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negara jnk  ganjarmahfudrebound  ganjarpranowopilihanumat 
RT Raja dangdut Pak Haji Rhoma irama Bertanya Tentang seni dan Film Jika Pak Anies Terpilih jadi Presiden Desak ANIES  Slepet Imin di JI-EXPO Kemayoran Jakarta pusat Hari ini Senin 29 Januari 2024 https://t.co/RrXqDp1oVE [RE Yurissa_Samosir];Politik; raja dangdut pak haji rhoma irama bertanya tentang seni dan film jika pak anies terpilih jadi presiden desak anies slepet imin di ji expo kemayoran jakarta pusat hari ini senin 29 januari 2024   re yurissa samosir 
Capres Ganjar Pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet UU ITE.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/P6xBly0eos;Politik;capres ganjar pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet uu ite jnk  ganjarmahfudrebound  ganjarpranowopilihanumat 
"RT Ini musuh utama gen z, Anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta  pemerintahan dg penegakan aturan.. #AMINAjaDulu https://t.co/kcras6WuXs [RE ekowboy2];Politik";; ini musuh utama gen z  anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta pemerintahan dg penegakan aturan   aminajadulu   re ekowboy2 politik
Debat Capres-Cawapres ke-3, Anies menyatakan nilai Kemenhan dalam melaksanakan kebijakan nilainya 11 dari 100. Jadi Menteri saja tidak layak, menurut Paslon 01.;Politik;debat capres cawapres ke 3  anies menyatakan nilai kemenhan dalam melaksanakan kebijakan nilainya 11 dari 100  jadi menteri saja tidak layak  menurut paslon 01 
Pasangan Duet Capres Cawapres Ganjar Pranowo Mahfud MD, motor perubahan. Kredit 35% untuk koprasi dan UMKM, jadi andalan bisnis lokal. Sukses terus, teman-teman.JN18A #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat;Ekonomi;pasangan duet capres cawapres ganjar pranowo mahfud md  motor perubahan  kredit 35  untuk koprasi dan umkm  jadi andalan bisnis lokal  sukses terus  teman teman jn18a  jnk  ganjarmahfudrebound  ganjarpranowopilihanumat
"RT Anak Muda Indonesia, the future of this nation is in your hand. It's the time for change. Anies for President..sampaikan yg harus disampaikan kepada teman lainnya karena sudah saatnya adu ide  gagasan...tunjukan karya-karya Pak Anies untuk Perubahan Indonesia lebih baik lagi https://t.co/S9S9Kanr0z [RE Yurissa_Samosir];Ideologi";; anak muda indonesia  the future of this nation is in your hand  it s the time for change  anies for president sampaikan yg harus disampaikan kepada teman lainnya karena sudah saatnya adu ide gagasan tunjukan karya karya pak anies untuk perubahan indonesia lebih baik lagi   re yurissa samosir ideologi
RT Pak AniesÃƒÂ¢Ã‚â‚¬Ã‚â„¢s post has reached 26.000 likes and 1.350.573 on Dialog Capres w/ Kadin, tvOneNews Youtube in 1 Days 15 Hour 27 Minutes. ÃƒÂ¢Ã‚â‚¬Ã‚â€ It is the fastest and highest post to reach 26k likes and 1.3M likes among capresÃƒÂ¢Ã‚â‚¬Ã‚â„¢s members #ANIES #ÃƒÂ¬Ã‚â€¢Ã‚â€žÃƒÂ«Ã‚â€¹Ã‚Ë†ÃƒÂ¬Ã‚Å Ã‚Â¤ #AniesAtKadin https://t.co/skRZA4AWlp [RE aniesbubble];Sosial Budaya; pak aniess post has reached 26 000 likes and 1 350 573 on dialog capres w  kadin  tvonenews youtube in 1 days 15 hour 27 minutes   it is the fastest and highest post to reach 26k likes and 1 3m likes among capress members  anies    aniesatkadin   re aniesbubble 
RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas];Pertahanan dan Keamanan; according to prabowo  gaza is opressed because they don t have a sufficient military power  this is such a tone deaf statement coming from a minister of defense   re wapamungkas 
RT Ini kejam, warga disitu sudah bersedia dibangun JIS dgn janji Anies utk memabngun rumah susun bagi mereka. Stlh rumah itu terbangun mrk ga diberikan haknya. Padahal Anies selaku Gubernur sll menepati janjinya. Kampung akuarium, kampung kunir dll. Apa yg salah rakyat mendapat rmh? [RE GeiszChalifah];Sosial Budaya; ini kejam  warga disitu sudah bersedia dibangun jis dgn janji anies utk memabngun rumah susun bagi mereka  stlh rumah itu terbangun mrk ga diberikan haknya  padahal anies selaku gubernur sll menepati janjinya  kampung akuarium  kampung kunir dll  apa yg salah rakyat mendapat rmh   re geiszchalifah 
RT Prabowo-Gibran akan Terapkan 17 Program Ini untuk Melancarkan Ekonomi Biru - Internasional Kontan https://t.co/3wJ1RkX4NX #MenangSeputaran [RE AzzrielAzaryahu];Ekonomi; prabowo gibran akan terapkan 17 program ini untuk melancarkan ekonomi biru   internasional kontan   menangseputaran  re azzrielazaryahu 
RT VIRAL Anies Baswedan Dapat Ancaman Penembakan, Tim Hukum AMIN Siap Tempuh Jalur Hukum! https://t.co/pnFEy0cLgj [RE democrazymedia];Pertahanan dan Keamanan; viral anies baswedan dapat ancaman penembakan  tim hukum amin siap tempuh jalur hukum    re democrazymedia 
RT Kasihan Pendukung Prabowo udah dibela belain masuk penjara gak diakui..... https://t.co/8l6IbwcGwC [RE Catatan_ali7];Politik; kasihan pendukung prabowo udah dibela belain masuk penjara gak diakui    re catatan ali7 
tempodotco Ayo Ganjar, tuntaskan permasalahan yang ada di Indonesia, pasti bisa pasti m3nang Ãƒâ€š Ãƒâ€š semuakerjaÃƒâ€š Ganjar Mahfud Hebat #Coblos3 #3GM #DuluJokowiSekarangGanjar ayahbowo adalahkita ÃƒÂ°Ã‚Å¸Ã‚ËœÃ‚â‚¬ https://t.co/zRmqeHufEI;Politik;tempodotco ayo ganjar  tuntaskan permasalahan yang ada di indonesia  pasti bisa pasti m3nang   semuakerja ganjar mahfud hebat  coblos3  3gm  dulujokowisekarangganjar ayahbowo adalahkita  
RT Wiranto langsung bergerak cepat untuk memberikan dukungan kepada Prabowo - Gibran. #WirantoGasPolDukung02 https://t.co/vkk1Hbk5Wl [RE AlfisyahriFarah];Politik; wiranto langsung bergerak cepat untuk memberikan dukungan kepada prabowo   gibran   wirantogaspoldukung02   re alfisyahrifarah 
RT gua beneran sedih banget kenapa ya orang tuh susah menerima fakta kalo prabowo itu war criminal dan zionistÃƒÂ¢Ã‚â‚¬Ã‚Â¦.. kek thereÃƒÂ¢Ã‚â‚¬Ã‚â„¢s so many possibilities kalo beliau kepilih bakal regress demokrasi kita, bakal lebih otoriter, bahkan banyak menteri progresif yg pasti akan didepakÃƒÂ¢Ã‚â‚¬Ã‚Â¦ [RE moonincancer__];Politik; gua beneran sedih banget kenapa ya orang tuh susah menerima fakta kalo prabowo itu war criminal dan zionist  kek theres so many possibilities kalo beliau kepilih bakal regress demokrasi kita  bakal lebih otoriter  bahkan banyak menteri progresif yg pasti akan didepak  re moonincancer 
RT Lautan manusia sambut Capres nomor urut 1, Anies Baswedan saat laksanakan giat kampanye ke Bone, Sulawesi Selatan (Sulsel), Rabu (17/1/2024). Anies bertemu dengan masyarakat Bone di Lapangan Sepak Bola Cina. Kampanye kali ini cukup spesial lantaran ditemani oleh eks Wakil Presiden, Jusuf Kalla (JK). Melihat lautan manusia yang antusias menyapa Anies ini pun membuat dia merasa takjub, dan menegaskan bahwa uang tidak dapat mengobarkan semangat seperti ini. Simak berita selengkapnya di https://t.co/IuWcTPbHZj #HardNews_Politik #NewsOne #CariBeritaditvOne #NO01 #AniesBaswedan #Kampanye #ViralBone #Pilpres2024 #Politik #KamiKabarkanAndaPutuskan #MauMemilih #tvOneTVPemilu [RE tvOneNews];Politik; lautan manusia sambut capres nomor urut 1  anies baswedan saat laksanakan giat kampanye ke bone  sulawesi selatan  sulsel  rabu  17 1 2024  anies bertemu dengan masyarakat bone di lapangan sepak bola cina  kampanye kali ini cukup spesial lantaran ditemani oleh eks wakil presiden  jusuf kalla  jk  melihat lautan manusia yang antusias menyapa anies ini pun membuat dia merasa takjub  dan menegaskan bahwa uang tidak dapat mengobarkan semangat seperti ini  simak berita selengkapnya di   hardnews politik  newsone  cariberitaditvone  no01  aniesbaswedan  kampanye  viralbone  pilpres2024  politik  kamikabarkanandaputuskan  maumemilih  tvonetvpemilu  re tvonenews 
RT baru kali ini ada capres yg mau peluk orang papua mencium tangan anak-Anak papua biar rakyat yang menilai !! Gak ngaruh tetap all in prabowo istirahatÃƒÂ°Ã‚Å¸Ã‚Â«Ã‚Â£ Anies Deserve Better #AbahAnies #CakImin https://t.co/2lcwxzGCN0 [RE nialubis_];Politik; baru kali ini ada capres yg mau peluk orang papua mencium tangan anak anak papua biar rakyat yang menilai   gak ngaruh tetap all in prabowo istirahat anies deserve better  abahanies  cakimin   re nialubis 
RT Yang sudah yakin vote Anies-Muhaimin pada 14 februari 2024, silahkan retweet!! #NakesDesakAnies https://t.co/qReuauPDzn [RE AbdulRachimmks];Politik; yang sudah yakin vote anies muhaimin pada 14 februari 2024  silahkan retweet   nakesdesakanies   re abdulrachimmks 
RT DATA YANG MANAAAAA ???? Data lahan pak prabowo itu bagian dari rahasia pertahanan ? Index dan peringkat yang dibaca pak ganjar juga itu rahasia pertahanan ? Astagaaaa [RE MamatAlkatiri];Pertahanan dan Keamanan; data yang manaaaaa   data lahan pak prabowo itu bagian dari rahasia pertahanan   index dan peringkat yang dibaca pak ganjar juga itu rahasia pertahanan   astagaaaa  re mamatalkatiri 
